2010-10-25 11:35:54.826700: Successfully scanned file test-data/DNS-data
2010-10-25 11:35:54.826700: Error in formatting - could not add the following records:
Line:44629|+arrow-pc.eecs.qmul.ac.uk:138.37.8^224.94.37.138.in-addr.arpa:enchilada.eecs.qmul.ac.uk.:864008.157:86400|IP address or machine name is invalid.
Line:46551|^_services._dns-sd._udp.dcs.qmul.ac.uk:_http._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46552|^_services._dns-sd._udp.dcs.qmul.ac.uk:_ipp._tcp.dcs.qmul.ac.uk:300|IP address or machine name is invalid.
Line:46553|^b._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46554|^lb._dns-sd._udp.dcs.qmul.ac.uk:dcs.qmul.ac.uk:86400|IP address or machine name is invalid.
Line:46555|^_http._tcp.dcs.qmul.ac.uk:JANET\ Roaming\ Service._http._tcp.dcs.qmul.ac.uk|IP address or machine name is invalid.
2010-10-25 11:35:54.826700|Error|Machine Name: xayaberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e0, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 30.
2010-10-25 11:35:54.826700|Error|Machine Name: youngberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 31.
2010-10-25 11:35:54.826700|Error|Machine Name: zedberry-lo0.core-net.qmul.ac.uk, IP Address: 2001:630:11:f000::e2, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 32.
2010-10-25 11:35:54.826700|Error|Machine Name: whinberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::c8, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 33.
2010-10-25 11:35:54.826700|Error|Machine Name: appleberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::c9, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 34.
2010-10-25 11:35:54.826700|Error|Machine Name: blueberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::ca, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 35.
2010-10-25 11:35:54.826700|Error|Machine Name: cranberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::cb, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 36.
2010-10-25 11:35:54.826700|Error|Machine Name: dewberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::cc, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 37.
2010-10-25 11:35:54.826700|Error|Machine Name: elderberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::cd, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 38.
2010-10-25 11:35:54.826700|Error|Machine Name: feaberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::ce, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 39.
2010-10-25 11:35:54.826700|Error|Machine Name: gooseberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::cf, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 40.
2010-10-25 11:35:54.826700|Error|Machine Name: huckleberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d0, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 41.
2010-10-25 11:35:54.826700|Error|Machine Name: inkberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d1, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 42.
2010-10-25 11:35:54.826700|Error|Machine Name: juneberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d2, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 43.
2010-10-25 11:35:54.826700|Error|Machine Name: keriberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d3, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 44.
2010-10-25 11:35:54.826700|Error|Machine Name: loganberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d4, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 45.
2010-10-25 11:35:54.826700|Error|Machine Name: mulberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d5, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 46.
2010-10-25 11:35:54.826700|Error|Machine Name: naseberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d6, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 47.
2010-10-25 11:35:54.826700|Error|Machine Name: partridgeberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d8, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 49.
2010-10-25 11:35:54.826700|Error|Machine Name: queensberry-ebr3.core-net.qmul.ac.uk, IP Address: 2001:630:11:f030::d9, DNS type:3AN | could not save to database - You cannot create this record because it already exists. DNS ID: 50.
